Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,108.15,-71.8,90.0,bottom
C10,100n,C_0402_1005Metric,112.85,-85.8,180.0,bottom
C11,100n,C_0402_1005Metric,115.2,-86.2,180.0,bottom
C12,100n,C_0402_1005Metric,117.5,-74.45,90.0,bottom
C2,10u,C_0402_1005Metric,124.1,-78.6,180.0,bottom
C3,10u,C_0402_1005Metric,113.55,-71.85,90.0,bottom
C4,100n,C_0402_1005Metric,107.7,-81.0,270.0,bottom
C5,100n,C_0402_1005Metric,121.5,-78.3,90.0,bottom
C6,100n,C_0402_1005Metric,115.45,-88.4,270.0,bottom
C7,10u,C_0402_1005Metric,121.75,-67.4,180.0,bottom
C8,10u,C_0402_1005Metric,125.1,-69.25,270.0,bottom
C9,100n,C_0402_1005Metric,110.23,-77.9,0.0,bottom
D1,LED,LED_1206_W,110.818175,-82.5,90.0,top
D10,LED,LED_1206_W,126.854525,-82.5,90.0,top
D11,LED,LED_1206_W,129.52725,-82.5,90.0,top
D12,LED,LED_1206_W,132.2,-82.5,90.0,top
D13,LED,LED_D5.0mm_Y,127.25,-75.0,180.0,top
D14,LED,LED_D5.0mm_B,120.741866,-75.0,0.0,top
D15,LED,LED_D5.0mm_G,114.258134,-75.0,180.0,top
D16,LED,LED_D5.0mm_R,107.75,-75.0,0.0,top
D17,LED,LED_W3.0mm_H2.0mm_Y,109.85,-88.65,-90.0,top
D18,LED,LED_W3.0mm_H2.0mm_Y,112.6,-91.4,180.0,top
D19,LED,LED_W3.0mm_H2.0mm_Y,109.85,-94.15,90.0,top
D2,LED,LED_1206_W,108.14545,-82.5,90.0,top
D20,LED,LED_W3.0mm_H2.0mm_Y,107.1,-91.4,0.0,top
D21,LED,LED_D3.0mm_R,127.93,-89.7,180.0,top
D22,MS2A40LWS,D_SOD-323,122.65,-72.75,180.0,bottom
D3,LED,LED_1206_W,105.472725,-82.5,90.0,top
D4,LED,LED_1206_W,102.8,-82.5,90.0,top
D5,LED,LED_1206_W,113.4909,-82.5,90.0,top
D6,LED,LED_1206_W,116.163625,-82.5,90.0,top
D7,LED,LED_1206_W,118.83635,-82.5,90.0,top
D8,LED,LED_1206_W,121.509075,-82.5,90.0,top
D9,LED,LED_1206_W,124.1818,-82.5,90.0,top
F1,0603L020/30XR,Fuse_0603_1608Metric,123.65,-80.0,0.0,bottom
J1,GT-USB-7070C,GT-USB-7070C,128.905,-82.5,270.0,bottom
Q1,DMG2305UX-7,SOT-23,126.45,-72.05,180.0,bottom
Q2,DMG2302U-7,SOT-23,112.66,-88.76,270.0,bottom
Q3,TEMT6200FX01,TEMT6200FX01,121.6,-86.6,0.0,top
R1,5k1,R_0402_1005Metric,124.15,-81.25,0.0,bottom
R10,5k1,R_0402_1005Metric,114.19,-77.25,180.0,bottom
R11,100k,R_0402_1005Metric,103.15,-78.75,0.0,bottom
R12,100k,R_0402_1005Metric,112.15,-93.0,180.0,bottom
R13,220k,R_0402_1005Metric,103.15,-77.55,180.0,bottom
R14,22k,R_0402_1005Metric,123.8,-87.1,270.0,bottom
R15,22k,R_0402_1005Metric,113.62,-68.75,180.0,bottom
R16,22k,R_0402_1005Metric,113.62,-67.69,0.0,bottom
R2,5k1,R_0402_1005Metric,124.1,-83.9,0.0,bottom
R3,22k,R_0402_1005Metric,111.06,-68.9,180.0,bottom
R4,10k,R_0402_1005Metric,124.05,-74.95,270.0,bottom
R5,10k,R_0402_1005Metric,112.65,-96.0,270.0,bottom
R6,10k,R_0402_1005Metric,107.7,-83.0,270.0,bottom
R7,10k,R_0402_1005Metric,120.45,-78.3,90.0,bottom
R8,2k,R_0402_1005Metric,115.45,-90.4,270.0,bottom
R9,5k1,R_0402_1005Metric,116.3,-77.25,0.0,bottom
SW1,KSC321J LFS,SW_Push_1P1T_NO_CK_KSC3xxJ,121.5,-92.7,-90.0,top
SW2,ï»¿EVQ-P7J01P,SW_SPST_EVQP7A,128.0988,-93.1372,315.0,bottom
U1,DIO5518BST5,SOT-23-5,110.85,-71.3,0.0,bottom
U2,MCP1711T-3.3I/OT,SOT-23-5,122.4,-69.7,0.0,bottom
U3,TLC5916IPWR,TSSOP-16_4.4x5mm_P0.65mm,104.35,-84.1,90.0,bottom
U4,TLC5916IPWR,TSSOP-16_4.4x5mm_P0.65mm,119.35,-83.3,90.0,bottom
U5,TLC5916IPWR,TSSOP-16_4.4x5mm_P0.65mm,119.9,-91.05,0.0,bottom
U6,DS3231MZ,SOIC-8_3.9x4.9mm_P1.27mm,117.5,-69.7,270.0,bottom
U7,STM32L052K8Ux,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,112.5,-81.7,90.0,bottom
